-9822752.012,4887653.935,1,Streetname - Mast Arm,"16"" X 42""", ,Traffic Signal Mast Arm, ,Streetname, ,D3-1,Champaign,1,,AERIAL,L,Mercury Dr,1,,{14F48419-04A7-4932-A850-884CA5DC67FA}
-9822751.724,4887683.3,2,Streetname - Mast Arm,"16"" X 42""", ,Traffic Signal Mast Arm, ,Streetname, ,D3-1,Champaign,2,,AERIAL,L,N Market St,2,,{1B72759F-4509-4810-9774-9274A034E1AA}
-9828662.018,4879483.907,3,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,3,,AERIAL,E,,3,,{4AEAB974-641C-4DF8-BE0B-AE40A0221559}
-9828960.274,4879769.844,4,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,4,,AERIAL,E,,4,,{37ACD662-5FC1-493C-B247-A148B99DD781}
-9827840.351,4880135.483,5,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,5,,AERIAL,E,,5,,{50CC3089-DB53-48A1-828D-838C3B31DDB2}
-9827280.201,4879663.344,6,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,6,,AERIAL,E,,6,,{4F33D5FF-11DC-42F7-9DA2-3CE2EEA56697}
-9827279.783,4879555.529,7,No Outlet,"30"" X 30""", ,Punched Telespar,2016,Warning, ,W14-2,Champaign,7,,AERIAL,E,,7,,{39BC922B-CA43-46CD-8894-88D910C0BD22}
-9824139.117,4883693.209,8,Streetname - Sesquicentennial,"6"" X 30""", ,Unpunched Telespar, ,Streetname,,,Champaign,8,,AERIAL,A,W 600 Vine  St,8,,{1A3AB015-4D15-48C1-8D10-B66AB68FC7A5}
-9823956.454,4883560.234,9,Streetname - Sesquicentennial,"6"" X 30""", ,Punched Telespar, ,Streetname,,,Champaign,9,,AERIAL,A,N600 Elm St,9,,{C2139729-5DE6-41DB-BF48-968844846A86}
-9827141.973,4879319.019,10,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,10,,AERIAL,E,,10,,{4A856BB9-7A38-4430-B5D4-06BF106A4F52}
-9827133.65,4879453.17,11,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,11,,AERIAL,E,,11,,{1E6454DB-E924-4417-9E7F-1BBA2E8DFF68}
-9827131.448,4879527.182,12,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,12,,AERIAL,E,,12,,{85F5B6E2-4938-4A34-84EA-B9AD9FE8BD96}
-9827113.952,4880112.547,13,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,13,,AERIAL,E,,13,,{2F0788A2-DB35-4B28-91C6-5224BFDBFBEB}
-9828637.636,4880226.682,14,No Parking to Corner,"12"" X 18""", ,Punched Telespar, ,Parking, ,HR7-11,Champaign,14,,AERIAL,D,,14,,{C418ADF2-0043-4BA1-8698-532F7CA383B7}
-9828651.302,4880214.519,15,No Parking to Corner,"12"" X 18""", ,Punched Telespar, ,Parking, ,HR7-11,Champaign,15,,AERIAL,D,,15,,{90EB18C0-B2FF-48C6-B089-E3306E8BA761}
-9828177.893,4880132.455,16,30 mph Speed Limit,"24"" X 30""", ,Punched Telespar, ,Regulatory, ,R2-1,Champaign,16,,AERIAL,E,,16,,{5D0E64AD-2650-43F7-A1B2-96491D4C9394}
-9828946.034,4879502.773,17,30 mph Speed Limit,"24"" X 30""", ,Punched Telespar, ,Regulatory, ,R2-1,Champaign,17,,AERIAL,E,,17,,{D9E07867-9C31-43EF-A2E3-44A59C043217}
-9828970.407,4879578.869,18,35 mph Speed Limit,"24"" X 30""", ,Unpunched Telespar, ,Regulatory, ,R2-1,Champaign,18,,AERIAL,E,,18,,{40F38D3A-1B57-4A74-B0C7-5E630620E494}
-9828647.698,4879492.906,19,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,19,,AERIAL,E,,19,,{DC4E222F-61D4-496C-A612-5790AFF72FFD}
-9828661.051,4879519.462,20,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,20,,AERIAL,E,,20,,{F1B15928-82B4-43D3-9693-4FC65D06E9B4}
-9828635.946,4880242.517,21,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,21,,AERIAL,D,,21,,{9E451760-503A-4741-A588-0BACD293540A}
-9828184.931,4880138.774,22,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,22,,AERIAL,E,,22,,{F90F259D-AA9F-47FD-984A-D0AB589368AA}
-9828183.561,4880034.686,23,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,23,,AERIAL,E,,23,,{DCE4F452-503C-4A80-8EC0-C86E9DFA8027}
-9828157.247,4880047.321,24,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,24,,AERIAL,E,,24,,{E87BE2FA-69EA-4A63-A5EE-5C12081137D9}
-9828182.827,4879928.14,25,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,25,,AERIAL,E,,25,,{6C0BD122-17D2-4663-B199-FF70D49659B0}
-9828157.226,4879940.306,26,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,26,,AERIAL,E,,26,,{F2037764-DA64-41CF-BE15-A7C633630E6C}
-9828181.404,4879823.802,27,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,27,,AERIAL,E,,27,,{4ACBB8EB-2ADF-4CD7-8D36-9A7149EBE3CA}
-9832194.568,4878512.934,28,Streetname,"6"" X 30""", ,Punched Telespar, ,Streetname, ,D3-1,Champaign,28,,AERIAL,E,Villa Dr,28,,{FF06BADC-AB49-43E1-9251-17AE6013337A}
-9828558.246,4879517.369,29,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,29,,AERIAL,E,,29,,{53A408CC-BBE9-48B2-A00F-94C59E196627}
-9828440.519,4879489.844,30,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,30,,AERIAL,E,,30,,{1ACED29B-8C74-40B5-A968-DAD8917DF175}
-9828959.241,4879518.895,31,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,31,,AERIAL,E,,31,,{A0CCF57C-D500-4A28-ADD5-A086073EAA3D}
-9828961.893,4879783.007,32,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,32,,AERIAL,E,,32,,{06FCCECE-AD01-4C21-9EE3-C2F85E26C0F0}
-9828962.481,4879915.935,33,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,33,,AERIAL,E,,33,,{7F5FF100-4B98-44E9-95BD-0D6A50360A4F}
-9828127.884,4879674.668,34,Stop,"30""", ,Punched Telespar,2013,Regulatory, ,R1-1,Champaign,34,,AERIAL,E,,34,,{441977C6-A66A-4171-85DC-A71D4C64D2AC}
